random,lfu,lru,a3c
85.583,69.555,75.799,68.499
58.254,43.802,41.529,42.277
41.644,23.973,26.556,29.8
28.605,16.764,15.723,18.232
22.061,10.06,9.618,18.967
17.55,6.85,6.428,15.016
