random,lfu,lru,a3c
63.802,47.039,49.512,42.45
63.569,50.216,49.478,43.647
62.832,46.674,50.452,45.191
63.656,47.867,49.734,45.63
63.434,46.429,49.054,44.74
63.729,46.971,49.68,43.853
