random,lfu,lru,a3c
0.2358,0.4177,0.3412,0.4861
0.2448,0.4679,0.3505,0.4759
0.2801,0.4427,0.3336,0.4657
0.2385,0.4571,0.3747,0.4525
0.2491,0.4363,0.3749,0.4648
0.2346,0.4534,0.3571,0.4773
