Step,random,lfu,lru,a3c
85,63.60320159,49.04982619,48.68940369,54.46519525
86,63.4813713,46.14136732,48.84384384,54.31522354
87,64.1160221,43.16048667,48.67510368,54.68307866
88,64.0706899,46.21958285,48.5978836,55.19241653
89,63.5720357,48.3400927,48.67796368,53.729485
90,64.55517779,45.0811124,48.81238381,53.86813809
91,64.6826746,43.73986095,48.68940369,55.00282965
92,64.33135005,47.03360371,48.87244387,53.65591398
93,63.52103697,43.96292005,48.77234377,54.52178834
94,63.4813713,45.08980301,48.71800372,54.38879457
95,64.59767672,44.38006952,48.85528386,53.85116016
96,64.28318459,45.45770568,48.51780352,53.23429542
97,63.65986684,48.00984936,49.004004,53.66157329
98,63.99702507,45.15932793,48.48348348,55.04244482
99,64.2520187,48.4414832,48.6951237,52.47594793
100,62.280068,45.61123986,49.24138424,54.40294284
101,63.43320584,47.56373117,48.97254397,53.91907187
102,66.37979884,47.74913094,48.71514372,52.95132994
103,64.58634367,47.51448436,48.5006435,53.78041879
104,64.29168437,44.84646582,48.61218361,53.18619128
105,64.88100297,47.57821553,48.58072358,53.67855122
106,64.74783964,48.24159907,48.66366366,53.83984154
107,63.37087406,44.23232908,48.56928357,53.56819468
108,63.71369882,45.06952491,48.68654369,53.09281268
109,63.96019266,49.68713789,48.56070356,52.62591964
110,64.58351041,46.86848204,48.72658373,53.82569327
111,63.08188129,47.09443801,48.65222365,52.25806452
112,63.82986259,47.30011587,48.74946375,52.3344652
113,64.06502337,47.3986095,48.86386386,53.1663837
114,62.27440147,46.17902665,49.03260403,52.15053763
115,62.83822071,48.69061414,48.3976834,51.88737974
116,63.34820796,47.43337196,48.74088374,52.61460102
117,64.6146763,46.44264195,48.94394394,52.58064516
118,63.19804505,49.81170336,49.02688403,52.05715903
119,63.86952826,45.0811124,48.93536394,52.47311828
120,64.77617226,42.49710313,48.88960389,52.62591964
121,64.11035557,47.37543453,48.86672387,53.05885682
122,62.70222411,48.69930475,48.8953239,52.40520656
123,64.19818671,52.74913094,49.10982411,52.5466893
124,62.61439297,46.22537659,48.68368368,52.40237691
125,62.89488596,46.49188876,48.86100386,52.07696661
126,64.23218586,47.3986095,49.11840412,52.44482173
127,64.13585494,49.94206257,48.42056342,51.55348048
128,65.64598385,47.82155272,48.5035035,50.78664403
129,64.45034707,49.90730012,48.35478335,52.20713073
130,64.28885111,47.42757822,49.24138424,51.7770232
