Step,random,lfu,lru,a3c
80,0.217311234,0.43670336,0.405977406,0.335455574
81,0.216602918,0.411790267,0.407264407,0.344227504
82,0.216177929,0.433806489,0.405834406,0.34196378
83,0.230485905,0.444235226,0.404690405,0.336445954
84,0.219719507,0.443945539,0.405262405,0.338143746
85,0.219152855,0.437137891,0.406263406,0.339417091
86,0.216744581,0.438876014,0.401973402,0.340124505
87,0.218444539,0.438441483,0.405262405,0.34040747
88,0.215611276,0.444235226,0.403975404,0.340973401
89,0.218444539,0.429750869,0.405119405,0.345642332
90,0.21575294,0.447856315,0.402974403,0.352857951
91,0.219011191,0.430330243,0.403975404,0.334040747
92,0.225244369,0.433082271,0.404547405,0.351584607
93,0.227227653,0.42207416,0.404976405,0.341114884
94,0.221844454,0.448580533,0.396253396,0.350594228
95,0.217027908,0.433082271,0.3996854,0.353706848
96,0.223119422,0.444669757,0.402259402,0.361912847
97,0.22028616,0.434096176,0.404261404,0.365449915
98,0.21532795,0.447421784,0.406263406,0.35639502
99,0.211644709,0.407300116,0.403117403,0.365308432
100,0.233744156,0.450318656,0.396968397,0.352716469
101,0.219152855,0.415845886,0.402402402,0.350877193
102,0.2066865,0.433806489,0.402688403,0.355687606
103,0.216461255,0.435110081,0.403689404,0.358941709
104,0.216461255,0.450318656,0.404404404,0.356960951
105,0.214761298,0.433661645,0.404261404,0.357809847
106,0.216319592,0.431778679,0.404118404,0.352574986
107,0.235302451,0.429461182,0.401973402,0.362195812
108,0.22212778,0.449015064,0.402402402,0.367289191
109,0.218869528,0.422653534,0.405262405,0.362337295
110,0.216036266,0.437282735,0.406120406,0.357809847
111,0.22481938,0.434096176,0.405834406,0.379032258
112,0.22255277,0.430764774,0.402688403,0.380305603
113,0.223827738,0.429895713,0.402116402,0.377192982
114,0.23572744,0.441628042,0.404547405,0.379881154
115,0.229069273,0.427867903,0.408265408,0.38172043
116,0.221702791,0.435110081,0.402545403,0.374787776
117,0.218444539,0.403534183,0.398112398,0.382144878
118,0.229210936,0.422219003,0.401401401,0.377758913
119,0.222269443,0.447856315,0.398541399,0.380730051
120,0.213769656,0.441483198,0.400829401,0.375919638
121,0.222694433,0.436848204,0.4002574,0.376910017
122,0.230769231,0.433227115,0.402831403,0.380730051
123,0.215469613,0.432358053,0.4001144,0.376485569
124,0.229494263,0.439889919,0.404261404,0.382003396
125,0.220569486,0.461326767,0.403403403,0.379598189
126,0.220002833,0.43221321,0.398541399,0.384408602
127,0.217452897,0.420915411,0.404833405,0.392756084
128,0.207111489,0.430764774,0.406978407,0.391482739
129,0.21532795,0.446407879,0.406978407,0.392897566
130,0.216602918,0.436558517,0.397540398,0.38893605
131,0.224961043,0.436848204,0.41026741,0.399122807
132,0.224961043,0.439455388,0.406549407,0.398415393
133,0.222977759,0.433227115,0.401401401,0.390775325
