random,lfu,lru,a3c
0.09995,0.2222,0.1584,0.2728
0.2602,0.4719,0.4728,0.4777
0.3502,0.6651,0.5998,0.5791
0.557,0.7454,0.752,0.7162
0.6009,0.8733,0.8611,0.6657
0.6582,0.9424,0.9499,0.7182
