random,lfu,lru,a3c
31.462,18.596,21.271,16.504
46.349,34.841,34.668,31.992
56.561,42.553,43.631,40.812
63.54,46.795,49.647,45.975
69.645,52.1,54.566,50.545
73.232,54.9,58.483,53.553
